P,T
0.0104125,22.5
0.04327,28
0.102285,35.9
0.19458,47.8
0.3313625,62.8
0.53127,86.6
0.8250725,126.6
1.2678,179.5
1.896075,242.7
2.87275,322.7
4.239675,419.3
4.2327,519.7
2.5069,375.8
2.5238061,386.3
2.5118225,378.8
2.5115008,380
2.568208,353.3
2.57222,349.9
2.9612,382.7
2.5069,375.8
2.608125,351.8
2.73591,380
2.835635,400.4
2.950475,428.4
3.05583,433.8
3.16372,441.5
3.28152,451.8
3.40974,475.5
3.5606875,471.2
3.69866,481.1
3.8039625,503.6
3.93294,530.4
4.070395,539.9
4.2069,553.3
3.4463,497.6
3.493077,501.2
3.540384,504.4
3.60094,503.1
3.65545,507.1
2.627385,413